Time (msec),Engine Load (Calculated) (g/rev),Engine Speed (rpm),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Manifold Relative Pressure (Corrected) (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Knock Correction Advance (degrees)
0,0.35,2502,16,37.5,5.87,-8.56,14.39,0,7.06,0.78,4.69,14.13,0,0,0
47,0.35,2494,16,37,5.85,-8.56,14.51,0,7.06,1.56,4.69,14.24,0,0,0
125,0.36,2492,16,37.5,5.85,-8.56,15.04,0,7.06,2.34,4.69,14.47,0,0,0
203,0.37,2477,16,37.5,5.81,-8.56,15.22,0,7.06,2.34,4.69,14.59,0,0,0
297,0.4,2501,16,38,6.4,-8.42,16.65,0,13.33,3.12,4.69,14.7,0,0,0
406,0.8,2518,16,38,10.21,-5.37,33.74,3.14,21.96,-9.38,4.69,12.63,0,0,0
469,1.07,2514,16,34.5,12.34,-2.32,45.14,6.27,30.59,-3.91,4.69,14.13,-2.11,0,-1.5
562,1.05,2505,16,27.5,14.43,-0.73,44.87,9.41,40.39,6.25,4.69,15.62,-2.11,0,2.5
640,1.08,2552,16,26,15.72,-0.15,44.65,12.55,51.76,-3.91,4.69,14.81,-2.11,0,3
719,1.1,2540,16,25,14.11,0.73,45.54,15.69,56.08,-16.41,4.69,11.94,-2.11,0,3.5
781,1.14,2544,16,20.5,14.72,1.16,46.44,18.82,65.88,-15.62,4.69,11.94,-2.11,0,4
844,1.14,2556,16,21.5,15.94,1.6,49.01,25.1,72.94,-8.59,4.69,14.01,-2.11,0,4
922,1.16,2576,16,22.5,16.79,1.89,50.83,28.24,81.57,-8.59,4.69,15.16,-2.11,0,4
1015,1.2,2605,16,22,16.11,2.32,52.24,31.37,85.49,-23.44,4.69,14.01,-2.11,0,4.5
1078,1.23,2630,16,21.5,15.15,2.76,53.84,34.51,92.94,-17.19,3.91,12.75,-2.11,0,4.5
1156,1.24,2621,16,21,16.78,3.05,54.33,37.65,97.65,-8.59,3.91,14.24,-2.11,0,4.5
1297,1.28,2656,16,20,18.69,3.34,56.63,40.78,100,-5.47,3.91,16.08,-2.11,0,5
1328,1.31,2680,16,19.5,18.87,3.77,58.43,43.92,100,-19.53,3.91,13.21,-2.11,0,5
1453,1.35,2665,16,19,17.06,4.21,60.11,47.06,100,-13.28,3.12,14.36,-2.11,0,5
1500,1.43,2682,16,18,18.88,4.64,61.66,50.2,100,-8.59,3.12,15.39,-2.11,0,4.5
1578,1.46,2733,16,17.5,21.35,4.79,63.78,53.33,100,-7.03,3.12,15.62,-2.11,0,5
1640,1.46,2705,16,16,21.28,5.22,65.73,56.47,100,-7.81,3.12,15.04,-2.11,0,4.5
1719,1.53,2770,16,15.5,21.75,6.09,67.33,59.61,100,-8.59,2.34,14.59,-2.11,0,5
1844,1.54,2755,16,15,22.63,6.38,70.27,62.75,100,-7.03,2.34,14.7,-2.11,0,4.5
1922,1.57,2791,16,15,23.49,6.82,74.07,69.02,100,-7.81,2.34,14.81,-2.11,0,5
2015,1.61,2813,16,14.5,24,7.11,75.4,71.37,100,-7.81,1.56,14.59,-2.11,0,5.5
2062,1.63,2848,16,14,24.91,7.55,77.35,71.37,100,-7.03,1.56,14.59,-2.11,0,5.5
2156,1.66,2883,16,14.5,25.22,7.98,79.74,71.37,100,-7.03,1.56,14.59,-2.11,0,5.5
2219,1.71,2896,16,14,25.94,8.42,82.62,71.37,100,-7.03,1.56,14.59,-2.11,0,5.5
2281,1.69,2954,16,14,26.47,8.71,83.03,71.37,100,-7.03,1.56,14.47,-2.11,0,5.5
