Time (msec),Engine Load (Calculated) (g/rev),Engine Speed (rpm),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Manifold Relative Pressure (Corrected) (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Knock Correction Advance (degrees)
2375,1.78,2920,16,13.5,27.41,9.29,86.57,71.37,100,-6.25,1.56,14.7,-2.11,0,5.5
2437,1.81,2960,16,13,27.79,9.58,87.22,71.37,100,-6.25,0.78,14.59,-2.11,0,6
2531,1.82,3018,16,13.5,28.9,10.01,89.17,71.37,100,-6.25,0.78,14.59,-2.11,0,6.5
2594,1.83,3010,16,13,29.4,10.3,91.39,71.37,100,-6.25,0.78,14.7,-2.11,0,6.5
2734,1.87,3062,16,13,30.19,11.17,93.41,71.37,100,-6.25,0.78,14.47,-1.05,0,8
2765,1.87,3076,16,14,31.09,11.46,95.66,71.37,100,-5.47,0.78,14.59,-1.05,0,8
2844,1.89,3100,16,14,31.36,11.75,98.72,71.37,100,-5.47,0.78,14.59,-1.05,0,8
2937,1.9,3128,16,14,32.23,12.04,99.87,71.37,100,-5.47,0.78,14.59,-1.05,0,8
3015,1.93,3168,16,14,31.77,12.19,101.78,71.37,100,-5.47,0,14.47,-1.05,0,8
3078,1.93,3208,16,14,32.16,12.33,103.24,71.37,100,-6.25,-1.56,14.47,-1.05,0,8
3140,1.93,3197,16,14,32.05,12.48,103,71.37,100,-3.12,-1.56,14.7,-1.05,0,8
3234,1.92,3268,16,14,33.46,12.48,104.71,71.37,100,-2.34,-1.56,14.93,-1.05,0,8
3312,1.94,3265,16,14,33.43,12.48,105.68,71.37,100,-2.34,-1.56,14.59,-1.05,0,8
3390,1.96,3296,16,14,33.76,12.62,105.44,71.37,100,-2.34,-1.56,14.59,-1.05,0,8
3515,1.94,3332,16,14,34.12,12.62,106.66,71.37,100,-1.56,-1.56,14.7,-1.05,0,8
3578,1.92,3338,16,14,35.46,12.62,107.94,71.37,100,-0.78,-1.56,14.81,-1.05,0,8
3672,1.95,3392,16,13.5,35.7,12.62,108.67,71.37,100,-1.56,-1.56,14.59,-1.05,0,7.5
3734,1.96,3415,16,13.5,35.78,12.62,110.98,71.37,100,-0.78,-1.56,14.47,-1.05,0,7.5
3797,1.96,3423,16,13.5,36.08,12.62,112.72,71.37,100,-1.56,-1.56,14.47,-1.05,0,7.5
3875,1.99,3451,16,13,50.02,12.77,115.86,71.37,100,0,-1.56,14.47,-1.05,0,7.5
3953,2.02,3531,16,13,51.22,12.77,119.01,71.37,100,0,-1.56,12.63,-1.05,0,7
4031,2.05,3538,16,12,52.83,13.2,120.9,71.76,100,0,-1.56,11.6,-1.05,0,7
4140,2.06,3594,16,11.5,54.43,13.35,123.08,72.16,100,0,-1.56,11.48,-1.05,0,6.5
4234,2.1,3586,16,11,55.09,13.49,125.52,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4297,2.04,3626,16,11.5,54.93,13.49,123.34,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4390,2.06,3662,16,11.5,56.25,13.49,126.63,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4453,2.09,3673,16,11.5,56.41,13.49,126.35,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4547,2.06,3722,16,12,57.4,13.35,127.47,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4594,2.07,3737,16,12,58.3,13.49,128.59,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4656,2.09,3796,16,13,58.59,13.49,131.13,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4750,2.05,3815,16,13,58.83,13.49,133.11,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4828,2.08,3830,16,13,59.5,13.49,134.26,72.16,100,0,-1.56,11.25,-1.05,0,6.5
4922,2.07,3874,16,13,59.81,13.64,134.54,72.16,100,0,-1.56,11.25,0,0,6.5
5000,2.06,3937,16,15,60.47,13.64,135.15,72.16,100,0,-1.56,11.25,0,0,7.5
5078,2.07,3949,16,15,60.66,13.64,136.01,72.16,100,0,-1.56,11.25,0,0,7.5
5140,2.04,4000,16,15,62.29,13.64,135.73,71.37,100,0,-1.56,11.25,0,0,7.5
5219,2.07,4002,16,15.5,63.17,13.49,137.75,71.37,100,0,-1.56,11.25,0,0,8
5297,2.06,4030,16,15.5,63.62,13.64,138.04,71.37,100,0,-1.56,11.25,0,0,8
5375,2.04,4082,16,15.5,64.45,13.49,138.92,71.37,100,0,-1.56,11.25,0,0,8
5453,2.05,4087,16,15.5,64.52,13.64,138.64,71.37,100,0,-1.56,11.25,0,0,8
5531,2.05,4130,16,15.5,65.48,13.49,139.21,71.37,100,0,-1.56,11.25,0,0,8
5625,2.04,4148,16,15.5,67.07,13.49,141.62,71.37,100,0,-1.56,11.25,0,0,8
5734,2.02,4192,16,15.5,67.72,13.49,142.82,71.37,100,0,-1.56,11.25,0,0,8.5
5797,2.06,4232,16,15.5,68.46,13.49,144.94,71.37,100,0,-1.56,11.25,0,0,8.5
5875,2.05,4223,16,15.5,69.48,13.49,146.75,71.37,100,0,-1.56,11.25,0,0,8.5
5953,2.05,4320,16,15.5,70.04,13.49,147.65,71.37,100,0,-1.56,11.25,0,0,8.5
6015,2.06,4300,16,15.5,69.72,13.49,147.95,71.37,100,0,-1.56,11.25,0,0,9
6078,2.06,4373,16,15.5,71.83,13.49,150.09,71.37,100,0,-1.56,11.25,0,0,9
6172,2.06,4394,16,15.5,72.17,13.49,151.04,71.37,100,0,-1.56,11.25,0,0,8.5
6250,2.07,4409,16,15.5,73.36,13.49,151.96,71.37,100,0,-1.56,11.25,0,0,8.5
6344,2.09,4430,16,15.5,74.66,13.49,154.23,71.37,100,0,-1.56,11.25,0,0,9
6422,2.07,4464,16,15.5,75.24,13.64,153.9,71.37,100,0,-1.56,11.25,0,0,9
6531,2.09,4488,16,16.5,75.64,13.64,156.49,71.37,100,0,-1.56,11.25,0,0,9
6594,2.07,4551,16,16.5,76.7,13.64,156.82,71.37,100,0,-1.56,11.25,0,0,9.5
6672,2.06,4581,16,16.5,77.21,13.64,157.47,71.37,100,0,-1.56,11.25,0,0,10
6734,2.08,4578,16,17,77.16,13.64,158.11,71.37,100,0,-1.56,11.25,0,0,10
6812,2.06,4615,16,17,77.78,13.64,158.11,71.37,100,0,-1.56,11.25,0,0,10.5
6922,2.05,4670,16,17.5,78.7,13.64,160.37,71.37,100,0,-1.56,11.25,0,0,10.5
6969,2.1,4664,16,18,78.6,13.64,159.08,71.37,100,0,-1.56,11.25,0,0,11
7047,2.02,4738,16,18.5,79.84,13.49,161.02,71.37,100,0,-1.56,11.25,0,0,11
7140,2.06,4728,16,18.5,80.7,13.49,161.35,71.37,100,0,-1.56,11.25,0,0,11.5
7219,2.06,4798,16,19,81.89,13.49,162.64,71.37,100,0,-1.56,11.25,0,0,11.5
7328,2.04,4780,16,20,82.74,13.35,163.93,71.37,100,0,-1.56,11.25,0,0,11
7390,2.08,4848,16,19,82.74,13.49,164.9,71.37,100,0,-1.56,11.25,0,0,11.5
7469,2.07,4873,16,19.5,84.37,13.35,166.57,70.98,100,0,-1.56,11.25,0,0,10.5
7531,2.05,4883,16,20,84.37,13.35,168.27,70.2,100,0,-1.56,11.25,0,0,10
7609,2.05,4905,16,20.5,84.65,13.35,167.24,69.8,100,0,-1.56,11.25,0,0,9.5
7719,2.05,4960,16,19.5,84.65,13.35,169.32,69.8,100,0,-1.56,11.25,0,0,10
7765,2.06,4970,16,20,85.88,13.35,169.66,69.02,100,0,-1.56,11.25,0,0,9
7859,2.06,5020,16,19.5,85.67,13.2,170.36,69.02,100,0,-1.56,11.25,0,0,9
7937,2.06,5030,16,20.5,86.92,13.06,172.43,67.84,100,0,-1.56,11.25,0,0,8.5
8062,2.04,5092,16,20,86.89,13.06,173.47,67.84,100,0,-1.56,11.25,0,0,8.5
8109,2.04,5126,16,20,87.49,12.91,174.51,67.45,100,0,-1.56,11.25,0,0,8
8219,2.04,5154,16,20,87.97,12.91,175.55,67.45,100,0,-1.56,11.25,0,0,8
8281,2.06,5151,16,21,87.91,12.91,176.59,66.27,100,0,-1.56,11.25,0,0,8
8328,2.03,5151,16,21,89.26,12.77,176.59,66.27,100,0,-1.56,11.25,0,0,7.5
8422,2.04,5230,16,21,89.57,12.77,176.59,66.27,100,0,-1.56,11.25,0,0,7.5
8500,2.03,5248,16,21,89.2,12.77,178.33,66.27,100,0,-1.56,11.25,0,0,8
8594,2.03,5293,16,21.5,89.2,12.77,179.37,65.88,100,0,-1.56,11.25,0,0,8
8672,2.03,5282,16,21.5,89.01,12.62,179.02,65.49,100,0,-1.56,11.25,0,0,8
8765,2.01,5357,16,21.5,90.28,12.62,179.71,65.49,100,0,-1.56,11.25,0,0,8
8859,2,5388,16,22.5,89.65,12.48,179.37,65.49,100,0,-1.56,11.25,0,0,8
8953,2.02,5388,16,22.5,89.84,12.48,181.79,65.1,100,0,-1.56,11.25,0,0,8
9015,2.02,5399,16,22.5,90.36,12.48,181.79,65.1,100,0,-1.56,11.25,0,0,8.5
9062,2.02,5430,16,22.5,90.36,12.48,182.49,65.1,100,0,-1.56,11.25,0,0,8.5
9156,1.99,5498,16,22.5,91.49,12.48,182.51,65.1,100,0,-1.56,11.25,0,0,8.5
9250,2.01,5498,16,23,90.32,12.48,183.95,64.71,100,0,-1.56,11.25,0,0,9
9312,2,5498,16,23,90.92,12.48,183.95,64.71,100,0,-1.56,11.25,0,0,9
9390,2,5535,16,23.5,90.92,12.33,184.32,64.71,100,0,-1.56,11.25,0,0,9
9531,1.98,5610,16,23.5,92.15,12.33,185.43,64.31,100,0,-1.56,11.25,0,0,9
9578,1.98,5610,16,23.5,90.95,12.33,185.06,61.96,100,0,-1.56,11.25,0,0,9
9640,1.97,5610,16,23.5,92.18,12.33,185.06,61.96,100,0,-1.56,11.25,0,0,9
9750,1.97,5686,16,24,92.18,12.19,186.54,61.57,100,0,-1.56,11.25,0,0,9
9812,1.94,5720,16,24,91.53,12.19,185.06,60,100,0,-1.56,11.25,0,0,8.5
9875,1.94,5751,16,24,92.02,11.9,186.17,58.04,100,0,-1.56,11.25,0,0,8.5
9953,1.92,5751,16,24,90.94,11.9,186.17,58.04,100,0,-1.56,11.25,0,0,8.5
10047,1.92,5760,16,24.5,90.94,11.75,184.32,56.08,100,0,-1.56,11.25,0,0,8.5
10109,1.91,5823,16,25,90.68,11.75,185.06,54.51,100,0,-1.56,11.25,0,0,8.5
10203,1.91,5823,16,24.5,90.61,11.46,185.06,50.2,100,0,-1.56,11.25,0,0,8.5
10328,1.91,5818,16,24.5,90.61,11.46,185.06,50.2,80.39,0,-1.56,11.25,-2.11,0,8
10406,1.86,5854,16,23,71.19,10.59,181.79,40,14.51,0,-1.56,11.25,0,0,0
10469,0.2,5854,16,11.5,0,-5.08,18.91,0,0,0,-1.56,11.25,0,0,0
